coach,unit,new_team,prior_stops,notes
Sonny Cumbie,offense,Louisiana Tech,"TCU:2017-2020; Texas Tech:2021-2021","CONFIRMED (sweep 1) — took TCU calling 2017 when Meacham left (co-OC non-calling 2014-16 omitted); TT caller 2021 incl. interim-HC stretch; primary caller as La Tech HC 2022. Predecessor clean: Sloan called La Tech 2021. tcu360.com 7/2017; latechsports.com"
Ryan Grubb,offense,Washington,"Fresno State:2020-2021","CONFIRMED both sweeps for 2020-21 — Fresno caller under DeBoer; UW caller 2022. Fresno 2019 DROPPED: sweeps conflict (one credits Grubb post-DeBoer-departure, other starts 2020). Sioux Falls FCS omitted. UW 2021 baseline: Donovan OC full season (Lake fired 11/2021 — HC noise, caller continuity VERIFY). seattletimes.com 12/2021; spokesman.com 9/2022"
Mark Whipple,offense,Nebraska,"Pittsburgh:2019-2021","CONFIRMED both sweeps — Frost ceded calling to hire him (Pitt caller 2019-21); kept calling through Frost's 9/11/22 firing (one late game shared after sideline injury — noted). UMass HC 2014-18 omitted (unverified). Nebraska 2021 baseline MURKY: Lubick OC but Frost heavily involved — program profile stands, attribution note. omaha.com 12/2021; si.com 11/2022"
Chip Long,offense,Georgia Tech,"Notre Dame:2017-2019; Tulane:2021-2021","CONFIRMED both sweeps — ND caller 2017-19 (2018 Broyles finalist); Tulane caller 2021; GT caller all 2022 (Collins fired after 4 games; Long retained through season under interim Key — target season intact, released post-season). Memphis 2016 omitted (Norvell called). Predecessor clean: Patenaude called GT 2021. ajc.com; si.com"
Tim Cramsey,offense,Memphis,"Marshall:2018-2021","VERIFY both sweeps — Marshall OC 2018-21 under non-calling HCs, calling credited but no direct quote found; Memphis caller full 2022 under OL-background Silverfield (secondhand). Pre-2018 stops omitted. Predecessor clean: Johns called Memphis 2021. gotigersgo.com 1/2022; herald-dispatch.com"
Kevin Johns,offense,Duke,"Memphis:2020-2021","VERIFY — dailymemphian: Memphis caller from 2019 Cotton Bowl through 2021; tulsaworld 3/2024: 'Blue Devils' play caller' 2022-23 under defense-side Elko (sweep 1 could not independently confirm — spot-check before trusting). TT 2018 + Memphis 2019 omitted (Kingsbury/Norvell called). Predecessor: Cutcliffe (caller-HC) full final season 2021. dailymemphian.com; tulsaworld.com"
David Yost,offense,Florida International,"Utah State:2017-2018; Texas Tech:2019-2020","VERIFY (sweep 1 only) — FIU bio: 'Yost called the offense from 2022-24'; TT 2019 top-10 passing offense as OC/caller; USU 2017-18 (Jordan Love) per-stop quotes not found. FIU 2021 baseline noisy: Butch Davis lame-duck full season (program chaos, caller-attribution thin). fiusports.com; on3.com"
# --- excluded candidates, kept for the record ---
# Charlie Weis Jr,offense,Ole Miss — SWEEP CONFLICT: his own later quote claims all 2022 calling, but Kiffin said pre-season HE would be primary caller; Kiffin also 'extremely involved' per sweep 1 — attribution contested, unresolvable (Golesh precedent)
# Walt Bell,offense,Indiana — SWEEP CONFLICT: sweep 1 'generally credited', sweep 2 'co-OC shared/contested' — attribution contested
# Kirk Ciarrocca,offense,Minnesota — return to former stop (called Minnesota 2017-19; new team = prior team, Enos precedent); only clean external prior is COVID-2020 PSU
# Rhett Lashlee,offense,SMU — return to former stop (called SMU 2018-19)
# Eric Morris,offense,Washington State — baseline contaminated: Rolovich fired Oct 2021 (6+ games interim regime) + FCS-only priors (Incarnate Word)
# Kenny Dillingham,offense,Oregon — no verifiable prior primary play-calling stop (Norvell/Malzahn-called offenses)
# Rich Scangarello,offense,Kentucky — no FBS prior play-calling (NFL priors); dismissed pre-bowl
# Jay Norvell,offense,Colorado State — prior-stop attribution contested (Matt Mumme was Nevada OC and followed him to CSU)
# Mike Sanford Jr,offense,Colorado — Dorrell fired 10/2/22, Sanford became interim HC midseason — target season chaos
# Tim Plough,offense,Boise State — stripped of calling ~3 games into 2022 (Koetter took over)
# Bobby Engram,offense,Wisconsin — first-time caller + Chryst fired midseason
# Tyler Bowen,offense,Virginia Tech / Des Kitchings,offense,Virginia / Lance Taylor,offense,Louisville — first-time callers, no prior stops
# Jeff Tedford,offense,Fresno State — return to former school + out of coaching 2020-21
# Sonny Dykes,offense,TCU — non-calling HC (G. Riley called)
# Collin Klein (KSU), Brandon Streeter (Clemson), Gino Guidugli (Cincy), Michael Desormeaux (Louisiana), Eric Kiesau (Auburn) — internal promotions
# UNRESOLVED (neither sweep to standard): Bryan Ellis (Georgia Southern), Danny Langsdorf (Temple), Travis Trickett (USF), John McNulty (Boston College), Joe Craddock (Troy), Jim Svoboda (Tulane)
